Location number,Location name,Lat,Lon,Corr with Adult female lice,Corr with Lice in moving stages,Corr with Attached lice
28956,Meløysjøen,66.819984,13.461467,0.031098093,0.060548547,0.162892822
28976,Kelvesteinen,60.403,5.0635,0.03301106,-0.110209624,-0.289713872
28996,Loddetå,59.691784,5.543717,0.04800881,0.007817242,-0.017188357
29016,Båfjordstranda,64.964485,11.59435,0.270947192,0.361945064,0.320056749
29056,Lille Torsøy II,63.60803,8.494633,0.227867224,0.396481677,0.286005725
29096,Grøttøy,68.44508,14.819383,-0.256682438,-0.031801118,0.263132441
29116,Reiråklakken,63.44995,8.167133,0.261764417,0.277283605,0.247540592
29276,Rongøy,60.509335,4.9317,-0.026636575,-0.095020174,-0.342390825
29296,Fleina,67.0951,13.875217,0.198674374,0.402884408,0.313725814
29336,Trælsøyosen,60.1178,5.2702,-0.005829023,-0.234986971,-0.166950117
29356,Smineset N,64.75597,11.54245,0.189390952,0.178134019,0.142793744
29376,Sundsøy,66.17637,12.770283,0.038689482,0.139482729,0.173064965
29416,Åpenvik,70.020584,29.215334,-0.029737514,0.148767996,0.137835444
29417,Ytre Vassholmen,65.93497,12.139133,0.143861753,0.197751665,0.135614495
29436,Juvika,66.1185,12.814183,-0.194694996,0.266007216,0.161882223
29458,Blåmannsvik,69.73064,18.653584,-0.427824143,-0.148369488,-0.096692924
29476,Klokkardalen,69.70953,18.363983,-0.113667829,-0.10442907,0.203068923
29537,Eldviktaren,64.454636,10.630717,0.052611303,0.069744161,0.16017335
29557,Komagnes,70.4793,23.634216,-0.084719208,0.050282766,0.056230046
29576,Kalvik,67.51317,15.570433,-0.007480201,0.1234773,0.023495862
29596,Misjona,70.885414,25.495117,0.064479851,0.148758979,0.097901177
29656,Juvika,61.1051,5.019933,0.044134363,-0.090126872,-0.27822373
29697,Hafsmo,63.3667,9.245217,0.365206946,0.373972903,0.155563159
29756,Indre Bringenes,69.48227,17.57155,0.013239084,0.047382346,0.199511924
29776,Teksmona,66.868416,13.601383,0.017053729,-0.004371,0.156285964
29816,Apalvikneset,60.146217,6.121133,-0.047904805,-0.142200239,-0.229618979
29876,Flotaren,64.52398,10.761667,-0.03470071,-0.08042399,0.079235142
29896,Renndalen,63.176117,8.6172,-0.148202633,-0.23956779,-0.281775935
29936,Ystadneset,59.977932,5.77565,0.074646021,-0.128845795,-0.172798811
29957,Nakkestad,58.055832,7.06875,0.169553812,0.247717607,0.052488085
29996,,,,-0.116638613,0.187224968,0.288526517
30036,Jørstadskjera,59.2955,5.938617,0.171046741,-0.059788378,-0.110905743
30076,Kyrøyene,64.764015,10.806633,0.115880573,0.174429165,0.182260829
30097,Djupvik,66.73299,13.33115,0.210408332,0.302177619,0.294879328
30117,Skognes,69.96132,20.978268,-0.010935817,0.059374338,0.097627111
30137,Edøya II,63.65805,8.683667,0.275568297,0.323294027,0.26015832
30156,Anevik,68.00592,15.264333,0.011091908,0.235896442,0.248176989
30157,Movik,67.63265,15.26325,0.164316056,0.209498919,0.153152232
30176,Flehammer,67.7292,15.444317,0.223519271,0.337346378,0.212270347
30177,Torgerhaugen,64.89295,11.763017,0.029075477,0.049668342,0.013090372
30196,Ådnekvamme,60.83205,5.355017,-0.091006558,-0.250701386,-0.285220833
30216,Kvitfloget,69.14508,17.6465,0.082945994,0.186689579,0.141697721
30217,Storelva,70.13225,20.789433,-0.100600233,-0.002529475,0.141969694
30236,Toppsund V,68.91164,16.2927,0.014607309,0.08937603,0.253362424
30257,Hausan,63.458317,8.955683,0.080452249,0.246839643,0.032927522
30297,Krabbholmen,63.944485,9.8814,0.115566674,0.195969659,0.152418381
30377,Hogsneset N,63.099934,7.670267,0.205581261,0.188899564,0.102805104
